a,b,c,d,e,f
-1.26884827593567,54.47865961392179,7.0448313011364005,95.2,6.0,2632.0
-1.5198488266395,54.45121555691179,7.01062261488369,94.2,6.0,2541.0
-1.33764939846302,54.6523231414439,6.9899899969549,95.1,5.8,2532.0
-1.5371601831216002,55.365316960272295,6.8329265822051,79.9,5.1,2769.0
-1.2268997584206698,54.603409907821295,7.0790474025173795,94.8,5.9,2555.0
-1.3687954480274298,54.6536513089079,6.99680918651214,96.0,5.8,2506.0
-1.4248891042875902,54.72838118619929,6.867391322950809,89.6,5.8,2597.0
-1.53655997482342,55.746440679744204,6.78647067995405,81.8,4.8,2900.0
-1.44357847261901,54.7472923471972,6.84724444293647,82.6,5.8,2921.0
-1.35051392573223,54.858692859326,7.020804993752071,88.0,5.6,2500.0
-1.41409809730249,54.636545658169794,7.011666721150099,95.3,5.9,2600.0
-1.43527419810047,54.8234825472247,6.97995872410504,94.7,5.7,2567.0
-1.76263180333163,54.631518271925295,6.7708453098118,87.3,5.9,2131.0
-1.30376947563606,55.078501063528606,7.04823307040688,95.1,5.4,2481.0
-1.4967069968638402,54.778142038495,7.027021338406009,94.4,5.7,2531.0
-1.27366313152758,54.6619427248241,7.07656945863704,94.8,5.8,2693.0
-1.3200733512629699,54.805088059724206,7.05195020126951,94.0,5.7,2508.0
-1.34408198429335,54.94308916309279,7.07559289134593,94.1,5.6,2590.0
-1.3894206989352802,54.84987903153979,6.96852611896829,87.6,5.7,2446.0
-1.35836429869179,54.475170087609605,7.0358780783321,94.7,6.0,2491.0
-1.36822499389166,55.02276027130279,7.092589451708,94.7,5.5,2542.0
-1.5458085693847599,55.3622421196797,6.8934564701321195,79.6,5.1,2719.0
-1.46391802531081,54.918894380191,7.04379811311645,95.0,5.6,2527.0
-1.5247719181996102,55.132349029709395,7.1638490821050596,93.5,5.4,2476.0
-1.37288069682843,54.640788262067296,7.08518435871897,94.6,5.9,2516.0
-1.55460769623024,54.909729995832606,6.93981823702742,88.9,5.6,2461.0
-1.41761738432621,55.0388991861937,7.15867691092839,92.9,5.5,2520.0
-1.3677797779618999,54.4543459226055,7.016735424341871,95.3,6.0,2632.0
-1.71495051633624,54.2847671591021,6.9510364981068395,95.9,6.2,2607.0
-1.79069261632698,54.76199731131349,6.83350611949025,79.8,5.7,2826.0
-1.81195662283265,55.452307531017105,6.84043073396903,80.3,5.0,2915.0
-1.75277421703603,55.7170437890882,6.95738515453176,78.1,4.8,2857.0
-1.5733971208827,55.7700590908198,6.85805150897947,79.2,4.7,2935.0
-1.5639481310343302,54.681678162769096,6.85528868461292,82.1,5.8,2903.0
-1.5836070003750602,55.5275033158102,6.85411221221929,81.1,5.0,3031.0
-1.4684800767303001,54.616278320049,7.037332684252941,87.1,5.9,2794.0
-1.51899843769955,54.296510109389104,6.86875397267954,80.7,6.2,2931.0
-1.66455035242071,54.8590902316407,6.91850298863679,79.4,5.6,2920.0
-1.46454723429274,55.648255489944,6.832323308678711,81.0,4.9,3007.0
-1.38494675788238,54.157101031021604,7.002991771821869,96.9,6.3,2537.0
-1.62730427978204,54.8779576796558,6.80059488113268,81.0,5.6,2955.0
-1.70917250996444,54.6309058321212,6.916667631876909,88.2,5.9,2760.0
-1.6090491401937699,55.051038758296,6.873881695300571,79.9,5.4,2902.0
-1.92027157436623,55.416013992104794,6.83709175035363,78.3,5.1,2866.0
-2.00954670975295,54.4273706500585,6.836003145579599,86.5,6.1,1727.0
-1.60809837782233,54.664679416097606,7.00036227256042,88.1,5.8,2589.0
-1.53934479044245,54.3194897345896,7.018937717239621,94.5,6.2,2567.0
-1.3833929483785399,54.5144443623289,7.03163480603102,96.2,6.0,2575.0
-1.6236957596518302,54.748245645532705,6.97896174281103,88.2,5.8,2648.0
-1.76826946843363,54.62326472488439,6.91685039082891,87.8,5.9,2536.0
-1.33087954415979,54.5364954234324,7.1061168017408205,95.0,6.0,2497.0
-1.61008893555904,54.525417022012704,7.06736322476481,93.9,6.0,2558.0
-1.56890642996993,54.7376696617996,7.121157920275401,94.3,5.8,2595.0
-1.5021520209509298,54.423648672744704,6.9901596978562,96.7,6.1,2585.0
-1.63045156491333,54.4772367524368,6.99033094191586,96.1,6.0,2552.0
-1.37316949598886,54.4574892494946,7.0101598995704695,95.7,6.0,2710.0
-1.7257605078577098,55.1244926987471,6.81983766564396,79.8,5.4,2797.0
-1.7315367648430402,55.03349876544021,6.881650036782809,80.9,5.5,2785.0
-1.47012870967934,54.549544441310104,7.03869262768289,95.6,6.0,2769.0
-1.46050498218061,54.6087563684888,6.8969228379771605,81.5,5.9,2957.0
-1.3074102770046598,54.415910012338294,7.01712778681041,89.0,6.1,2768.0
-1.4869631534419099,54.919824866659205,6.9468011073669,79.7,5.6,2923.0
-1.39182414481538,54.294685121247994,7.02562961783908,95.0,6.2,2573.0
-1.4365193491904098,54.541156850316895,7.07069378087827,93.6,6.0,2582.0
