a
SL
FF
FF
CU
FF
CH
SL
SL
SL
CU
SL
SL
FF
FF
FF
SL
CU
CU
SL
SL
CU
SL
CU
FF
SL
SL
FF
CU
CU
SL
SL
SL
CU
SL
CU
FF
CH
FF
CH
CU
FF
CH
CH
FF
FF
FF
FF
SL
SL
SL
CU
FF
FF
FF
FF
CU
FF
FF
SL
CU
CU
SL
FF
FF
CH
FF
FF
FF
FF
FF
SL
FF
FF
CU
FF
FF
FF
SL
FF
FF
FF
CU
CU
CU
CU
CU
CU
SL
CU
CU
CU
FF
CU
SL
CU
CU
CH
SL
FF
FF
SL
SL
FF
FF
FF
FF
FF
FF
CU
CU
FF
CU
SL
CU
FF
FF
FF
SL
SL
FF
SL
CU
FF
CU
CU
CU
CU
SL
SL
FF
FF
SL
SL
CU
SL
FF
SL
SL
FF
SL
FF
FF
CH
CH
FF
FF
SL
SL
FF
SL
SL
FF
SL
FF
FF
FF
CU
CH
CU
CU
SL
FF
SL
CU
FF
FF
CH
FF
CH
CU
FF
CU
FF
FF
FF
SL
FF
FF
CU
CU
SL
SL
SL
SL
CU
FF
FF
FF
SL
SL
SL
FF
CU
SL
SL
SL
SL
SL
FF
FF
SL
CU
CU
SL
SL
SL
FF
SL
SL
CU
CU
CH
CU
FF
FF
CU
FF
FF
SL
CU
CH
FF
FF
SL
CH
CU
CU
SL
SL
FF
FF
CU
FF
CU
FF
FF
SL
SL
FF
SL
FF
SL
CU
FF
SL
SL
CU
SL
FF
SL
SL
CU
CU
FF
FF
FF
CU
FF
CH
FF
CU
SL
SL
SL
SL
SL
CU
SL
SL
CU
FF
CU
FF
SL
SL
FF
SL
SL
FF
FF
FF
SL
SL
SL
CH
FF
SL
SL
FF
FF
FF
SL
FF
CU
FF
SL
SL
SL
SL
FF
SL
FF
SL
SL
FF
FF
FF
SL
FF
SL
SL
FF
FF
CU
FF
FF
FF
CH
FF
FF
FF
FF
FF
CU
FF
FF
SL
FF
FF
FF
CH
FF
FF
SL
SL
FF
FF
FF
SL
FF
SL
SL
SL
SL
SL
FF
CU
FF
FF
SL
CU
CU
FF
FF
FF
FF
FF
CH
SL
FF
FF
FF
FF
FF
SL
FF
FF
CU
CU
CU
FF
SL
FF
FF
SL
SL
SL
SL
FF
CU
FF
CU
CH
FF
SL
SL
SL
CU
CU
CU
SL
FF
FF
SL
CU
FF
FF
FF
FF
FF
SL
SL
FF
CH
SL
SL
FF
SL
SL
FF
CU
CU
SL
SL
SL
FF
SL
SL
FF
FF
FF
FF
CH
CH
SL
SL
SL
CU
FF
FF
FF
FF
CU
SL
FF
CU
FF
SL
CU
CU
FF
SL
SL
FF
FF
CU
FF
FF
FF
SL
FF
FF
SL
CU
FF
CU
FF
FF
CU
FF
SL
SL
FF
SL
FF
FF
FF
FF
SL
FF
FF
FF
FF
SL
CU
FF
FF
SL
FF
FF
CU
SL
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
CU
SL
FF
SL
FF
FF
FF
CU
SL
FF
FF
CU
FF
CH
FF
FF
FF
FF
SL
SL
SL
SL
SL
FF
CU
CU
SL
SL
FF
FF
FF
FF
FF
CU
FF
FF
SL
FF
FF
SL
FF
FF
FF
FF
SL
FF
SL
FF
SL
CU
CH
CU
CU
FF
FF
SL
FF
CU
FF
FF
FF
SL
CH
CH
SL
SL
FF
FF
FF
FF
SL
FF
FF
FF
FF
FF
FF
FF
FF
FF
SL
SL
FF
FF
FF
FF
FF
CH
FF
FF
FF
CH
CH
FF
SL
SL
SL
SL
FF
FF
SL
SL
CU
SL
FF
FF
SL
CU
FF
SL
SL
SL
SL
CU
CU
FF
SL
CU
CU
FF
SL
SL
FF
FF
FF
FF
FF
FF
CU
FF
FF
CU
CH
CU
CU
FF
SL
FF
SL
FF
CU
FF
FF
FF
FF
FF
SL
SL
FF
FF
SL
SL
CH
FF
FF
FF
SL
CU
SL
FF
FF
SL
SL
SL
CU
FF
FF
FF
CU
FF
CH
FF
FF
FF
FF
FF
CU
FF
FF
FF
SL
FF
FF
SL
FF
FF
SL
SL
FF
SL
SL
SL
SL
FF
SL
SL
SL
SL
SL
SL
FF
CU
FF
SL
FF
FF
SL
CU
CU
FF
SL
FF
SL
SL
CU
FF
SL
SL
FF
SL
SL
FF
SL
SL
SL
SL
CU
FF
SL
CU
CU
SL
FF
FF
FF
FF
CU
CU
FF
FF
FF
SL
CU
FF
FF
FF
FF
SL
FF
SL
SL
FF
SL
SL
CU
CU
SL
FF
SL
SL
SL
SL
FF
CU
FF
SL
FF
FF
FF
FF
FF
CU
CU
CU
SL
SL
FF
FF
SL
FF
FF
FF
FF
CU
FF
FF
SL
CH
SL
FF
FF
FF
SL
FF
SL
FF
FF
SL
CU
SL
SL
CU
FF
FF
FF
FF
CU
SL
SL
SL
SL
FF
FF
FF
FF
FF
FF
FF
SL
FF
FF
SL
SL
CH
FF
SL
SL
FF
FF
FF
CU
SL
SL
SL
CU
CH
CH
FF
FF
SL
CU
CU
FF
FF
FF
FF
CU
CU
SL
FF
FF
CU
CU
FF
FF
FF
FF
CU
FF
FF
FF
FF
SL
SL
FF
CU
FF
SL
FF
CU
FF
FF
FF
CU
FF
FF
FF
SL
FF
FF
FF
CU
FF
FF
FF
FF
CU
SL
FF
CU
CU
FF
FF
CU
SL
CU
CU
CU
FF
FF
CU
FF
FF
SL
FF
SL
FF
FF
CU
FF
FF
FF
SL
SL
FF
FF
FF
FF
CH
FF
FF
FF
CU
CU
FF
SL
CU
FF
FF
FF
FF
CU
SL
SL
SL
SL
FF
FF
FF
FF
FF
CU
FF
SL
SL
SL
SL
SL
FF
FF
CU
SL
FF
FF
SL
FF
FF
FF
SL
CU
SL
SL
SL
SL
FF
CU
SL
FF
FF
FF
CU
FF
FF
CU
CU
SL
FF
SL
FF
FF
FF
FF
FF
FF
FF
SL
CU
SL
CU
SL
SL
SL
SL
FF
FF
FF
FF
FF
FF
SL
CU
CU
CU
FF
FF
SL
SL
SL
CU
FF
SL
CU
CH
CU
FF
CU
FF
CU
CU
SL
FF
FF
FF
CU
FF
SL
FF
FF
FF
SL
FF
FF
FF
FF
FF
SL
FF
SL
SL
FF
CU
FF
FF
CU
SL
CH
FF
SL
FF
FF
FF
CU
FF
FF
SL
SL
CH
SL
SL
CU
FF
FF
SL
SL
SL
FF
FF
FF
FF
FF
FF
SL
SL
FF
FF
FF
FF
FF
FF
SL
SL
SL
FF
SL
FF
FF
SL
SL
SL
FF
FF
CU
FF
FF
FF
FF
FF
CU
FF
SL
SL
SL
SL
CU
SL
FF
FF
SL
CU
FF
SL
SL
CU
CU
FF
CU
FF
CH
FF
SL
FF
CH
FF
FF
FF
FF
FF
FF
FF
SL
CU
SL
SL
SL
SL
FF
SL
CU
FF
FF
CU
SL
SL
CU
FF
SL
FF
FF
FF
FF
CU
FF
FF
CU
CU
CH
SL
FF
FF
CH
FF
SL
CH
CH
FF
FF
FF
SL
SL
SL
SL
SL
SL
FF
FF
CH
CU
FF
SL
FF
FF
SL
CU
CU
FF
FF
FF
CU
SL
SL
FF
FF
SL
FF
FF
CU
CU
FF
FF
CH
SL
SL
SL
SL
FF
FF
SL
SL
SL
FF
SL
SL
FF
CH
CU
CU
CU
FF
FF
FF
SL
SL
CU
FF
FF
FF
FF
FF
FF
FF
FF
FF
CU
CU
SL
SL
FF
FF
CU
FF
FF
FF
FF
FF
FF
FF
FF
SL
SL
CU
FF
SL
SL
SL
CU
SL
CH
CH
FF
FF
FF
SL
SL
SL
FF
FF
CU
SL
CU
FF
CU
FF
FF
SL
SL
FF
SL
SL
FF
SL
SL
SL
SL
SL
SL
FF
SL
FF
SL
CU
SL
FF
SL
FF
CU
FF
SL
FF
FF
SL
SL
FF
CU
SL
SL
FF
FF
FF
SL
SL
CH
FF
SL
FF
CU
CU
CU
SL
CU
FF
FF
FF
FF
SL
SL
FF
FF
FF
FF
FF
FF
FF
CH
SL
FF
FF
FF
FF
FF
CU
FF
SL
SL
FF
FF
FF
SL
SL
SL
SL
FF
SL
CU
CU
FF
FF
SL
CU
FF
FF
FF
FF
FF
CU
FF
FF
FF
FF
FF
CU
FF
FF
CU
SL
SL
CU
CU
FF
FF
SL
FF
CU
FF
CU
CU
FF
FF
FF
SL
CU
FF
CU
SL
FF
CU
FF
SL
FF
FF
FF
FF
SL
SL
FF
FF
FF
FF
FF
SL
CU
FF
FF
SL
SL
SL
SL
SL
CU
CU
FF
CU
SL
SL
CU
CU
CU
FF
SL
CU
FF
SL
SL
FF
FF
FF
CU
SL
FF
FF
FF
FF
FF
SL
CU
SL
CU
FF
FF
FF
SL
FF
FF
CU
SL
FF
FF
FF
FF
FF
FF
FF
CU
SL
SL
SL
SL
FF
SL
FF
CU
FF
SL
FF
FF
FF
FF
FF
SL
SL
FF
SL
CU
CU
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
SL
CU
CU
FF
FF
CU
CU
CU
FF
CH
FF
SL
SL
FF
FF
FF
FF
FF
FF
FF
FF
SL
SL
FF
SL
CU
FF
SL
SL
SL
CU
CU
FF
FF
CU
FF
FF
FF
FF
FF
FF
SL
FF
CU
FF
FF
FF
FF
SL
SL
SL
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
SL
FF
SL
CU
FF
CU
SL
FF
SL
CU
CU
CU
FF
FF
FF
FF
FF
FF
SL
CU
FF
CU
FF
FF
FF
FF
SL
SL
FF
FF
FF
FF
FF
FF
CU
SL
SL
CU
CU
FF
SL
SL
FF
CU
CU
FF
FF
FF
SL
CU
SL
SL
SL
FF
CU
FF
CU
CU
FF
CU
FF
CU
CU
SL
FF
SL
SL
SL
CH
CH
CU
FF
FF
CH
SL
SL
SL
CU
SL
FF
FF
CU
SL
FF
SL
CU
SL
SL
SL
FF
FF
SL
FF
FF
SL
SL
CU
FF
FF
FF
FF
FF
FF
SL
FF
FF
FF
SL
FF
SL
FF
FF
FF
FF
FF
FF
SL
SL
FF
FF
CH
SL
FF
FF
FF
SL
FF
FF
FF
CU
FF
FF
CU
FF
SL
SL
SL
SL
FF
CU
FF
CU
CU
FF
FF
SL
FF
SL
CU
SL
CU
SL
SL
SL
CU
FF
SL
CU
CU
FF
SL
SL
CU
CU
FF
FF
FF
SL
FF
SL
SL
CU
SL
CU
CH
CU
SL
SL
SL
FF
FF
FF
SL
SL
FF
FF
FF
SL
SL
FF
SL
SL
SL
SL
SL
FF
FF
FF
FF
FF
SL
CU
FF
CU
FF
CU
SL
SL
SL
CU
FF
FF
CU
CU
CU
FF
FF
SL
FF
FF
SL
SL
FF
FF
SL
FF
FF
FF
SL
FF
FF
SL
SL
CU
CU
FF
SL
FF
SL
SL
CH
SL
SL
SL
FF
FF
FF
SL
SL
FF
FF
FF
SL
SL
SL
FF
FF
FF
CU
CU
CU
FF
FF
FF
SL
SL
CU
FF
FF
SL
CU
FF
FF
SL
SL
SL
SL
CU
CU
CU
FF
SL
SL
FF
SL
SL
CU
SL
FF
FF
FF
FF
SL
SL
SL
SL
CU
FF
FF
SL
FF
FF
SL
FF
SL
SL
SL
FF
SL
CU
SL
SL
FF
SL
CH
FF
SL
SL
FF
SL
FF
FF
CU
FF
FF
FF
FF
FF
FF
FF
CU
SL
FF
FF
FF
SL
SL
CU
FF
FF
CU
FF
CU
FF
FF
FF
FF
FF
SL
SL
FF
CU
CU
SL
SL
FF
FF
FF
FF
FF
FF
FF
FF
FF
SL
SL
SL
SL
SL
SL
SL
SL
CU
FF
SL
SL
FF
CU
FF
CU
CU
CU
FF
FF
SL
SL
CU
CU
FF
FF
FF
FF
CH
CH
FF
FF
FF
SL
FF
SL
SL
FF
SL
FF
SL
SL
FF
CU
FF
FF
FF
FF
FF
SL
FF
FF
CU
FF
FF
FF
SL
FF
FF
FF
SL
CU
FF
FF
CU
SL
CU
SL
SL
CU
CU
CU
FF
FF
SL
FF
FF
FF
FF
FF
FF
SL
SL
FF
FF
FF
FF
FF
CU
FF
SL
FF
FF
SL
FF
SL
FF
FF
CU
SL
CU
SL
FF
FF
FF
FF
FF
SL
CU
FF
FF
FF
FF
CU
CU
SL
SL
SL
CU
CU
FF
FF
SL
FF
FF
FF
FF
FF
FF
FF
FF
FF
FF
CU
FF
SL
SL
FF
SL
FF
SL
SL
SL
CU
FF
FF
FF
FF
FF
CU
SL
CU
CU
FF
FF
FF
SL
CU
FF
SL
SL
SL
SL
SL
