a,b,c,d,e,f,g,h,i
0.615367147545536,0.5058430915856,0.437702495155851,1.45543443202887,86.9,-1.5045772464396598,6.9274639033175704,SL,14.0
-0.619346041131735,1.711555091937,-0.37695058171120005,2.46984939493484,94.0,-1.42714573360076,7.063881396292571,FF,4.0
-0.749747565914843,1.9699480616944298,0.0237493890439845,3.81871379831607,94.8,-1.4188578263140903,6.95297963554424,FF,12.0
0.849187275089418,-1.29149030409682,1.31060186069362,1.9681112536996102,80.4,-1.5797214930548602,6.72133890148414,CU,14.0
-0.7579872664822241,1.8260626767423702,-0.5825497345317661,3.0127486241265897,94.6,-1.5962427362696001,6.93629760531976,FF,1.0
-1.4178436161157302,1.1881707895955,-0.423554798337862,1.6075679107493301,86.2,-1.8515977512110902,6.7500778018908205,CH,7.0
0.301418260476664,0.969922533749434,0.6729224957749531,1.8600014483293998,89.7,-1.57149564582069,6.87503402651168,SL,9.0
0.345109615689653,0.6995120998293599,0.1359976621844,2.73804260115269,87.2,-1.5837113367992601,6.90460763412805,SL,2.0
0.337579719619942,0.5587166101361669,0.6570962769009201,1.57969121937262,85.8,-1.6464380460799302,6.980495266908781,SL,9.0
0.6782550508591689,-0.789787249478411,0.17428941424642902,3.3580834620274196,81.8,-1.7078469348883998,6.766867861131179,CU,2.0
0.28607557251968,0.45941141122829793,0.0219079725905301,1.6373504896867401,87.8,-1.44411649623002,6.94022199729789,SL,8.0
0.41258774157123995,0.279412925827316,0.0579779093192812,3.19671235448936,86.5,-1.6433992671199,6.8511150900684,SL,2.0
-0.622829414553808,1.6252571016303998,0.122919911560174,2.90531935722908,93.6,-1.51517102860858,6.982567777235251,FF,2.0
-0.7627499569510959,1.60832098250621,0.33807259029128806,4.62393298174455,95.1,-1.39354247476076,6.97460489386379,FF,12.0
-0.6249377150467529,1.69625944518757,0.529667359613874,3.8238000340978395,94.7,-1.4663596588560301,6.98372856324926,FF,12.0
0.7016532543328691,0.39896603027084604,1.42025150972466,3.3286740289958,87.0,-1.50615710762195,6.9175512557669405,SL,12.0
